"";"�..Sigla";"Código";"Munic�.pio";"Renda...rendimentos.do.trabalho..2000."
"388";"BA";2915601;"Itamaraju";6695
"389";"BA";2915700;"Itamari";67091
"390";"BA";2915809;"Itambé";7243
"391";"BA";2915908;"Itanagra";61057
"392";"BA";2916005;"Itanhém";64289
"393";"BA";2916104;"Itaparica";57205
"394";"BA";2916203;"Itapé";65936
"395";"BA";2916302;"Itapebi";62405
"396";"BA";2916401;"Itapetinga";69042
"397";"BA";2916500;"Itapicuru";6744
"398";"BA";2916609;"Itapitanga";62147
"399";"BA";2916708;"Itaquara";6757
"400";"BA";2916807;"Itarantim";63755
"401";"BA";2916856;"Itatim";66683
"402";"BA";2916906;"Itiruçu";62519
"403";"BA";2917003;"Itiúba";42743
"404";"BA";2917102;"Itororó";65214
"405";"BA";2917201;"Ituaçu";57566
"406";"BA";2917300;"Ituberá";71174
"407";"BA";2917334;"Iuiú";59793
"408";"BA";2917359;"Jaborandi";36242
"409";"BA";2917409;"Jacaraci";39689
"410";"BA";2917508;"Jacobina";58813
"411";"BA";2917607;"Jaguaquara";68688
"412";"BA";2917706;"Jaguarari";4575
"413";"BA";2917805;"Jaguaripe";57597
"414";"BA";2917904;"Jandaíra";6096
"415";"BA";2918001;"Jequié";66382
"416";"BA";2918100;"Jeremoabo";39381
"417";"BA";2918209;"Jiquiriçá";62646
"418";"BA";2918308;"Jitaúna";5593
"419";"BA";2918357;"João Dourado";58643
"420";"BA";2918407;"Juazeiro";69308
"421";"BA";2918456;"Jucuruçu";53703
"422";"BA";2918506;"Jussara";56369
"423";"BA";2918555;"Jussari";58539
"424";"BA";2918605;"Jussiape";55262
"425";"BA";2918704;"Lafaiete Coutinho";66218
"426";"BA";2918753;"Lagoa Real";39265
"427";"BA";2918803;"Laje";67694
"428";"BA";2918902;"Lajedão";69355
"429";"BA";2919009;"Lajedinho";50619
"430";"BA";2919058;"Lajedo do Tabocal";64531
"431";"BA";2919108;"Lamarão";58612
"432";"BA";2919157;"Lapão";64154
"433";"BA";2919207;"Lauro de Freitas";68484
"434";"BA";2919306;"Lençóis";5729
"435";"BA";2919405;"Licínio de Almeida";39706
"436";"BA";2919504;"Livramento de Nossa Senhora";52448
"437";"BA";2919553;"Luís Eduardo Magalhães";NA
"438";"BA";2919603;"Macajuba";4416
"439";"BA";2919702;"Macarani";56115
"440";"BA";2919801;"Macaúbas";35705
"441";"BA";2919900;"Macururé";45175
"442";"BA";2919926;"Madre de Deus";60809
"443";"BA";2919959;"Maetinga";55148
"444";"BA";2920007;"Maiquinique";70691
"445";"BA";2920106;"Mairi";60409
"446";"BA";2920205;"Malhada";54819
"447";"BA";2920304;"Malhada de Pedras";41952
"448";"BA";2920403;"Manoel Vitorino";52989
"449";"BA";2920452;"Mansidão";32694
"450";"BA";2920502;"Maracás";67308
"451";"BA";2920601;"Maragogipe";37147
"452";"BA";2920700;"Maraú";59934
"453";"BA";2920809;"Marcionílio Souza";52515
"454";"BA";2920908;"Mascote";56116
"455";"BA";2921005;"Mata de São João";5672
"456";"BA";2921054;"Matina";41903
"457";"BA";2921104;"Medeiros Neto";62165
"458";"BA";2921203;"Miguel Calmon";51361
"459";"BA";2921302;"Milagres";594
"460";"BA";2921401;"Mirangaba";57584
"461";"BA";2921450;"Mirante";27439
"462";"BA";2921500;"Monte Santo";33178
"463";"BA";2921609;"Morpará";31649
"464";"BA";2921708;"Morro do Chapéu";51931
"465";"BA";2921807;"Mortugaba";44526
"466";"BA";2921906;"Mucugê";49904
"467";"BA";2922003;"Mucuri";73613
"468";"BA";2922052;"Mulungu do Morro";37373
"469";"BA";2922102;"Mundo Novo";53463
"470";"BA";2922201;"Muniz Ferreira";63288
"471";"BA";2922250;"Muquém de São Francisco";44413
"472";"BA";2922300;"Muritiba";57684
"473";"BA";2922409;"Mutuípe";62122
"474";"BA";2922508;"Nazaré";58207
"475";"BA";2922607;"Nilo Peçanha";58775
"476";"BA";2922656;"Nordestina";51312
"477";"BA";2922706;"Nova Canaã";64821
"478";"BA";2922730;"Nova Fátima";60281
