codigo_mun7;ano;mes;medicos_total;medicos_sus;residencia_medica;horas_total;horas_hosp;horas_amb;horas_outras;medicos_mil_habitantes
1504976;2006;3;1;1;0;20;0;20;0;0,069696125
1505007;2009;9;6;6;0;220;0;220;0;0,473298099
1505007;2010;12;6;6;0;260;0;260;0;0,438917337
1505304;2006;7;17;17;0;545;0;545;0;0,314820645
1505403;2013;2;10;10;0;334;37;297;0;0,59333096
1505403;2015;10;15;15;0;444;70;374;0;0,8764754
1505437;2013;9;23;22;0;699;194;500;5;0,778420821
1505601;2006;5;4;4;0;168;0;168;0;0,440237728
1505635;2011;3;5;5;0;218;5;172;41;0,39373179
1505635;2014;9;8;8;0;239;37;197;5;0,630070095
1505650;2009;11;2;2;0;84;0;42;42;0,102082483
1505650;2015;12;6;6;0;209;23;186;0;0,21028283
1505700;2005;9;2;2;0;80;0;80;0;0,099656186
1505700;2008;1;5;5;0;200;0;200;0;0,194227557
1505809;2014;9;20;20;0;810;231;579;0;0,349619788
1506005;2009;11;3;3;0;154;0;97;57;0,112909296
1506005;2012;3;9;9;0;425;114;311;0;0,306905371
1506005;2012;8;8;8;0;435;84;351;0;0,272804774
1506104;2015;1;6;6;0;222;0;222;0;0,572246066
1506138;2011;5;98;82;0;3137;0;1535;1602;1,281045752
1506138;2014;8;97;82;0;3310;1478;1792;40;1,213759275
1506187;2006;6;21;21;0;919;25;779;115;0,453455982
1506203;2011;8;53;53;0;1431;20;978;433;1,40486667
1506203;2014;2;45;45;0;1434;455;979;0;1,159226152
1506302;2010;7;6;6;0;260;0;230;30;0,297279889
1506351;2013;9;12;12;0;360;0;360;0;0,640478224
1506401;2011;2;2;2;0;104;0;74;30;0,238720458
1506559;2015;1;10;10;0;410;0;410;0;0,515916009
1506583;2007;8;5;5;0;136;4;102;30;0,312265801
1506583;2010;6;8;8;0;316;4;282;30;0,464954086
1506609;2012;1;23;23;0;612;79;530;3;0,984799829
1506906;2010;2;5;5;0;190;0;190;0;0,814199642
1507003;2007;5;14;14;0;535;75;340;120;0,56419763
1507102;2009;2;5;5;0;200;0;200;0;0,29652473
1507102;2015;9;8;8;0;199;0;199;0;0,45924225
1507151;2006;2;7;7;0;280;0;280;0;0,28889806
1507201;2009;1;12;12;0;526;0;483;43;0,42975325
1507409;2006;10;10;10;0;289;0;289;0;0,617817867
1507409;2012;4;11;11;0;390;0;390;0;0,724446786
1507508;2012;6;10;10;0;270;16;254;0;0,752275634
1507904;2009;8;4;4;0;199;0;149;50;0,17810232
1507904;2011;1;9;9;0;316;0;215;101;0,387346675
1507904;2012;7;8;8;0;200;40;160;0;0,340991433
1507953;2009;8;14;14;0;499;0;313;186;0,192519252
1507953;2011;10;26;25;0;603;102;476;25;0,315407664
1507953;2015;3;51;50;0;1383;365;993;25;0,524901967
1507953;2015;5;47;45;0;1328;325;978;25;0,483733185
1507961;2007;9;6;6;0;270;0;270;0;0,60845756
1507979;2013;7;10;10;0;407;80;327;0;0,567730215
1508001;2005;12;5;5;0;315;0;305;10;0,098133501
1508001;2009;4;19;19;0;1124;0;585;539;0,390890201
1508035;2015;11;21;21;0;601;70;531;0;0,712709995
1508050;2015;6;4;4;0;192;33;159;0;0,221190002
1508084;2005;9;11;11;0;405;0;405;0;0,511413827
1508084;2012;6;26;21;0;950;235;715;0;0,743792196
1508100;2009;12;102;102;0;4066;210;3051;805;1,062389334
1508126;2010;8;7;7;0;388;0;302;86;0,161509887
1508209;2006;8;15;15;0;470;20;450;0;0,355332354
1508209;2010;7;25;25;0;648;0;501;147;0,522040552
1508209;2012;1;26;26;0;557;78;479;0;0,530028132
1508357;2011;1;6;6;0;218;0;170;48;0,440949511
1508357;2011;3;6;6;0;220;0;170;50;0,440949511
1508407;2006;1;14;12;0;604;0;604;0;0,47287712
1508407;2009;8;19;17;0;709;0;550;159;0,468800118
1508407;2015;11;29;29;0;877;90;787;0;0,67704807
1600055;2007;5;2;2;0;104;0;104;0;0,530222694
1600105;2015;5;4;4;0;160;20;140;0;0,463929483
1600204;2011;5;5;5;0;145;0;130;15;0,545018531
1600212;2007;3;2;2;0;80;0;80;0;0,462962963
1600212;2012;7;2;2;0;80;0;80;0;0,407331976
1600238;2005;9;1;1;0;60;0;0;60;0,23142791
1600253;2014;7;2;2;0;80;0;80;0;0,41356493
1600279;2010;9;35;35;0;1755;0;1200;555;0,876270592
1600303;2007;12;409;385;0;17992;430;12604;4958;1,188424916
1600303;2013;4;521;501;1;21213;9202;11781;230;1,191521672
1600402;2011;4;12;12;0;550;0;550;0;0,688902922
1600402;2011;11;13;13;0;595;25;570;0;0,746311499
1600402;2011;12;12;12;0;555;25;530;0;0,688902922
1600550;2014;5;1;1;0;40;0;40;0;0,227066303
1600600;2009;2;135;135;0;5413;40;4618;755;1,388603168
1600709;2013;2;4;4;0;150;0;150;0;0,279876854
1700301;2011;3;4;4;0;120;0;120;0;0,752303931
1700301;2015;3;2;2;0;80;0;80;0;0,325256139
