Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
BA;2904753;Buritirama;22355
BA;2904803;Caatiba;75385
BA;2904852;Cabaceiras do Paraguaçu;30606
BA;2904902;Cachoeira;50668
BA;2905008;Caculé;51175
BA;2905107;Caém;52457
BA;2905156;Caetanos;35946
BA;2905206;Caetité;53251
BA;2905305;Cafarnaum;5465
BA;2905404;Cairu;6439
BA;2905503;Caldeirão Grande;44179
BA;2905602;Camacan;59255
BA;2905701;Camaçari;695
BA;2905800;Camamu;61988
BA;2905909;Campo Alegre de Lourdes;48601
BA;2906006;Campo Formoso;55794
BA;2906105;Canápolis;4317
BA;2906204;Canarana;49344
BA;2906303;Canavieiras;64997
BA;2906402;Candeal;53085
BA;2906501;Candeias;63469
BA;2906600;Candiba;52512
BA;2906709;Cândido Sales;60184
BA;2906808;Cansanção;38762
BA;2906824;Canudos;5752
BA;2906857;Capela do Alto Alegre;58256
BA;2906873;Capim Grosso;60776
BA;2906899;Caraíbas;39139
BA;2906907;Caravelas;64663
BA;2907004;Cardeal da Silva;53693
BA;2907103;Carinhanha;55465
BA;2907202;Casa Nova;5435
BA;2907301;Castro Alves;47396
BA;2907400;Catolândia;56957
BA;2907509;Catu;5402
BA;2907558;Caturama;45717
BA;2907608;Central;48549
BA;2907707;Chorrochó;3392
BA;2907806;Cícero Dantas;67088
BA;2907905;Cipó;68913
BA;2908002;Coaraci;57029
BA;2908101;Cocos;40764
BA;2908200;Conceição da Feira;53415
BA;2908309;Conceição do Almeida;56599
BA;2908408;Conceição do Coité;59439
BA;2908507;Conceição do Jacuípe;66363
BA;2908606;Conde;50494
BA;2908705;Condeúba;48644
BA;2908804;Contendas do Sincorá;5625
BA;2908903;Coração de Maria;67796
BA;2909000;Cordeiros;54889
BA;2909109;Coribe;39194
BA;2909208;Coronel João Sá;47538
BA;2909307;Correntina;51146
BA;2909406;Cotegipe;67755
BA;2909505;Cravolândia;63566
BA;2909604;Crisópolis;65585
BA;2909703;Cristópolis;51538
BA;2909802;Cruz das Almas;58717
BA;2909901;Curaçá;47114
BA;2910008;Dário Meira;69313
BA;2910057;Dias d'Ávila;64372
BA;2910107;Dom Basílio;53761
BA;2910206;Dom Macedo Costa;50303
BA;2910305;Elísio Medrado;56204
BA;2910404;Encruzilhada;71053
BA;2910503;Entre Rios;69985
BA;2910602;Esplanada;55892
BA;2910701;Euclides da Cunha;51518
BA;2910727;Eunápolis;69125
BA;2910750;Fátima;63375
BA;2910776;Feira da Mata;51808
BA;2910800;Feira de Santana;71001
BA;2910859;Filadélfia;46364
BA;2910909;Firmino Alves;63921
BA;2911006;Floresta Azul;66561
BA;2911105;Formosa do Rio Preto;50598
BA;2911204;Gandu;67568
BA;2911253;Gavião;54299
BA;2911303;Gentio do Ouro;31797
BA;2911402;Glória;36141
BA;2911501;Gongogi;59248
BA;2911600;Governador Mangabeira;49117
BA;2911659;Guajeru;53211
BA;2911709;Guanambi;65052
BA;2911808;Guaratinga;58696
BA;2911857;Heliópolis;69403
BA;2911907;Iaçu;53434
BA;2912004;Ibiassucê;61244
BA;2912103;Ibicaraí;61309
BA;2912202;Ibicoara;71229
BA;2912301;Ibicuí;68998
BA;2912400;Ibipeba;50327
BA;2912509;Ibipitanga;45723
BA;2912608;Ibiquera;54975
BA;2912707;Ibirapitanga;62214
BA;2912806;Ibirapuã;65474
BA;2912905;Ibirataia;63686
BA;2913002;Ibitiara;3894
BA;2913101;Ibititá;64632
BA;2913200;Ibotirama;4989
BA;2913309;Ichu;56942
BA;2913408;Igaporã;63731
BA;2913457;Igrapiúna;56673
BA;2913507;Iguaí;64865
BA;2913606;Ilhéus;66464
